Age,Gender,Annual_Income,Employment_Years,Existing_Debt,Credit_History_Years,Num_Credit_Accounts,Late_Payments,Loan_Amount,Credit_Score
34.0,Male,40097,18.4,3535,14.8,3,1,20958,612
38.0,Male,106517,11.2,51623,17.0,5,2,33969,639
25.0,Male,126111,7.0,72888,6.1,6,4,57275,495
38.0,Male,58212,5.1,35693,14.3,5,5,27459,506
39.0,Male,56142,0.9,32303,20.2,3,2,50193,540
42.0,Male,56041,7.8,8163,11.4,6,2,65073,583
40.0,Male,96005,2.2,59643,10.4,5,2,67034,526
36.0,Female,104362,8.4,49652,8.3,6,3,23232,552
34.0,Female,94909,4.2,18312,12.4,10,1,49616,560
63.0,Male,32967,8.1,10077,38.3,7,2,9871,658
23.0,Female,38333,4.9,9306,1.0,7,0,38021,551
21.0,Male,30668,4.6,16476,1.0,3,1,15701,543
43.0,Male,112524,7.2,11701,17.2,4,1,34702,597
43.0,Male,107627,3.2,51761,11.1,3,1,131928,559
48.0,Female,94629,10.9,38371,24.6,8,0,54102,625
30.0,Female,50968,5.0,5542,1.0,6,2,50799,508
34.0,Male,68978,2.3,19096,15.4,3,0,61101,548
33.0,Male,171839,5.3,59998,2.5,6,0,180000,537
45.0,Female,47112,8.8,9558,23.0,2,2,22877,579
35.0,Male,50272,7.3,28153,12.2,6,1,30486,588
51.0,Female,54245,12.0,28457,30.8,4,2,55497,635
39.0,Female,57464,9.5,15558,18.4,4,0,44685,650
,Male,58593,4.1,16060,12.8,2,3,60966,525
48.0,Male,99997,9.0,17494,28.1,7,1,34773,671
56.0,Male,43186,8.3,18098,27.9,4,0,33342,637
30.0,Female,83595,2.1,41209,2.3,7,1,14291,516
41.0,Female,50980,5.0,32118,16.5,3,1,18086,537
43.0,Female,62751,20.2,24664,24.5,5,4,56293,639
48.0,Female,66535,8.0,26908,17.3,8,0,19602,621
43.0,Female,22561,6.5,12737,22.1,3,0,9860,595
25.0,Male,56105,1.7,5562,1.0,10,2,59381,497
32.0,Female,52614,13.8,19819,2.2,3,2,18080,556
46.0,Male,60800,1.9,15443,24.0,2,3,53874,536
35.0,Female,41109,4.6,7373,16.0,5,1,29920,550
38.0,Male,112797,9.1,66503,9.7,6,1,78043,548
41.0,Male,36161,10.5,6616,15.3,3,4,9508,541
46.0,Male,102992,21.3,47119,17.0,8,0,112032,672
44.0,Male,120499,8.9,59585,15.5,7,3,148445,563
47.0,Female,20991,16.4,10024,25.1,10,3,25542,668
41.0,Male,44188,6.9,25542,15.3,5,0,13633,597
46.0,Male,113175,6.3,68300,27.4,7,3,117233,582
32.0,Male,61636,1.8,32473,6.6,3,1,58547,509
27.0,Female,37024,6.5,13813,3.4,7,1,44955,554
39.0,Female,56871,4.8,26621,8.4,4,1,33483,528
35.0,,106165,10.6,55003,14.9,3,2,24900,589
27.0,Male,51711,14.0,23990,4.0,5,1,62322,550
41.0,Female,140655,16.1,47614,20.6,9,2,107126,615
48.0,Female,35633,4.7,17329,16.4,3,0,15729,586
41.0,Male,51378,3.2,19409,17.1,10,2,59989,558
