Date,Company,Open,High,Low,Close,Volume
2016-01-01,HCLTech,1545.39,1552.22,1536.89,1550.0,1956151
2016-01-01,Infosys,1842.72,1860.8,1828.59,1850.0,3706077
2016-01-01,TCS,3606.28,3622.06,3567.02,3600.0,1622560
2016-01-01,Wipro,701.0,704.4,697.61,700.0,3072354
2016-01-04,HCLTech,1566.69,1576.56,1550.24,1567.92,2207225
2016-01-04,Infosys,1838.12,1850.08,1817.29,1835.26,2548473
2016-01-04,TCS,3571.63,3592.16,3561.08,3568.83,1721751
2016-01-04,Wipro,683.51,687.93,675.58,683.73,3580823
2016-01-05,HCLTech,1574.81,1584.95,1566.81,1571.18,3844036
2016-01-05,Infosys,1815.43,1825.25,1778.32,1796.08,3482771
2016-01-05,TCS,3606.9,3632.5,3586.4,3595.46,2005284
2016-01-05,Wipro,677.96,686.43,674.62,680.1,4497867
2016-01-06,HCLTech,1551.76,1568.97,1548.84,1556.88,2118916
2016-01-06,Infosys,1813.41,1828.88,1808.81,1812.44,3450601
2016-01-06,TCS,3634.08,3659.8,3608.25,3628.54,2116525
2016-01-06,Wipro,684.7,686.89,681.64,684.7,3399112
2016-01-07,HCLTech,1564.37,1577.13,1553.3,1562.06,1627415
2016-01-07,Infosys,1793.18,1801.38,1786.96,1796.65,2392369
2016-01-07,TCS,3581.62,3586.85,3562.17,3567.91,1764992
2016-01-07,Wipro,679.87,689.84,677.47,683.85,3364076
2016-01-08,HCLTech,1573.22,1589.16,1549.68,1562.11,3059173
2016-01-08,Infosys,1789.95,1803.72,1780.02,1791.69,3256152
2016-01-08,TCS,3539.12,3559.77,3488.57,3528.89,2031023
2016-01-08,Wipro,658.12,667.91,653.98,660.25,4329437
2016-01-11,HCLTech,1602.27,1608.69,1590.41,1594.72,2272539
2016-01-11,Infosys,1744.19,1759.42,1737.62,1754.99,2828260
2016-01-11,TCS,3552.54,3564.45,3496.94,3535.55,2258577
2016-01-11,Wipro,652.66,654.75,645.5,652.8,4236138
2016-01-12,HCLTech,1585.25,1588.79,1569.01,1584.62,3031667
2016-01-12,Infosys,1747.71,1761.56,1733.29,1737.11,3477697
2016-01-12,TCS,3532.15,3571.29,3522.73,3528.16,2960734
2016-01-12,Wipro,636.46,648.92,631.11,644.68,5622247
2016-01-13,HCLTech,1575.38,1580.18,1557.35,1573.57,2057487
2016-01-13,Infosys,1709.28,1726.6,1693.53,1707.04,3658702
2016-01-13,TCS,3540.41,3581.98,3494.24,3530.33,1950134
2016-01-13,Wipro,655.27,658.53,649.35,651.34,4822206
2016-01-14,HCLTech,1555.52,1577.26,1545.02,1559.63,2387695
2016-01-14,Infosys,1691.68,1701.23,1680.55,1699.15,3465783
2016-01-14,TCS,3502.67,3521.12,3479.56,3506.06,1983549
2016-01-14,Wipro,676.81,687.88,669.9,682.69,3258003
2016-01-15,HCLTech,1599.03,1614.27,1596.9,1603.03,3302526
2016-01-15,Infosys,1684.92,1702.33,1680.37,1692.13,3246797
2016-01-15,TCS,3530.03,3547.08,3499.25,3536.73,2714581
2016-01-15,Wipro,680.47,691.82,672.71,684.5,3497963
2016-01-18,HCLTech,1578.18,1595.54,1567.65,1590.12,1995924
2016-01-18,Infosys,1695.1,1705.98,1682.36,1694.99,3390322
2016-01-18,TCS,3583.67,3595.91,3526.11,3564.46,1791967
2016-01-18,Wipro,674.31,681.56,664.15,670.08,4644066
2016-01-19,HCLTech,1622.74,1638.39,1615.31,1620.75,2513454
2016-01-19,Infosys,1728.22,1743.64,1718.57,1721.47,2529287
2016-01-19,TCS,3571.94,3594.29,3543.29,3569.51,1534610
2016-01-19,Wipro,670.73,674.67,663.29,668.33,3350079
2016-01-20,HCLTech,1604.37,1616.33,1589.56,1599.01,2755977
2016-01-20,Infosys,1728.24,1739.78,1719.23,1736.62,3180379
2016-01-20,TCS,3618.09,3656.51,3600.7,3608.93,2102646
2016-01-20,Wipro,669.01,675.26,663.04,668.65,3748764
2016-01-21,HCLTech,1611.36,1620.05,1596.29,1611.92,2251652
2016-01-21,Infosys,1712.24,1721.59,1687.69,1704.25,2728778
2016-01-21,TCS,3628.65,3652.24,3623.5,3627.23,2480306
2016-01-21,Wipro,670.76,682.51,664.66,678.02,2841136
2016-01-22,HCLTech,1612.47,1621.37,1609.9,1619.42,2728918
2016-01-22,Infosys,1717.21,1734.43,1698.68,1717.87,3933220
2016-01-22,TCS,3595.76,3608.2,3572.51,3602.41,2149760
2016-01-22,Wipro,690.93,700.15,683.7,693.57,3080123
2016-01-25,HCLTech,1649.78,1665.63,1647.59,1649.24,2608149
2016-01-25,Infosys,1714.63,1733.14,1708.29,1721.34,3668557
2016-01-25,TCS,3617.69,3622.89,3576.17,3617.56,1961567
2016-01-25,Wipro,710.42,719.02,704.56,711.39,5145746
2016-01-26,HCLTech,1687.29,1702.29,1672.09,1676.23,2893364
2016-01-26,Infosys,1717.14,1736.43,1699.19,1720.52,3666476
2016-01-26,TCS,3605.96,3618.58,3563.48,3589.68,1497008
2016-01-26,Wipro,717.9,724.89,712.98,718.55,4136015
