transaction_id,age,income,transaction_amount,account_age_days,transactions_24h,failed_attempts_24h,merchant_risk_score,distance_from_home_km,device_trust_score,is_international,is_new_device,transaction_hour,merchant_category,payment_method,is_fraud
1,23.0,30051.86,70.81,1400,5,2,0.1424,6.61,0.7174,0,0,1,gaming,card,0
2,62.0,40837.89,170.51,895,3,0,0.068,7.05,0.8782,0,0,3,electronics,upi,0
3,55.0,63875.37,123.26,2136,6,0,0.2726,20.89,0.7289,0,0,11,electronics,net_banking,0
4,43.0,38929.69,408.65,58,4,0,0.0205,27.01,0.5039,0,0,1,grocery,upi,0
5,42.0,47192.34,420.26,2981,2,0,0.268,2.13,0.7618,1,0,2,grocery,card,0
6,66.0,70111.05,28.72,2727,4,1,0.1128,3.82,0.8113,0,0,6,gaming,wallet,0
7,22.0,45399.82,511.87,3090,5,1,0.3509,4.51,0.9103,1,1,9,travel,wallet,1
8,57.0,62281.6,97.73,3270,7,0,0.3205,35.82,0.8394,0,0,17,food,upi,0
9,29.0,132070.23,227.98,3553,5,0,0.0957,10.13,0.885,0,0,9,electronics,card,0
10,23.0,50039.41,70.39,617,2,0,0.0848,1.9,0.8792,0,0,9,travel,card,0
11,48.0,105211.12,260.89,3345,4,0,0.1135,9.03,0.4897,0,1,18,fashion,card,0
12,73.0,74812.63,2308.39,2268,7,3,0.2364,12.72,0.8907,0,0,11,electronics,card,1
13,59.0,24541.12,204.41,520,5,2,0.0448,7.56,0.7209,0,0,12,fashion,,0
14,61.0,29998.81,113.65,3936,10,0,0.0844,3.26,0.7715,0,0,10,,card,1
15,58.0,34773.49,142.71,3252,2,0,0.0886,14.54,0.8072,0,0,3,grocery,card,0
16,62.0,34369.65,41.43,1096,8,0,0.1943,3.39,0.8402,0,0,16,jewelry,card,0
17,47.0,52335.44,766.57,3565,7,0,0.4535,5.53,0.7227,0,0,14,jewelry,card,0
18,25.0,77121.91,246.13,2931,0,0,0.2405,1.51,0.8429,0,1,22,fashion,card,0
19,65.0,109691.33,63.06,1804,2,0,0.3022,1.89,0.9814,0,0,16,gaming,upi,0
20,43.0,65158.94,65.15,673,5,1,0.4729,2.06,0.8646,0,0,17,food,net_banking,0
21,46.0,43043.42,182.77,2932,6,0,0.5767,2.99,0.8732,0,0,20,food,upi,0
22,39.0,17498.24,457.12,3730,4,0,0.0782,12.01,0.6474,0,0,2,jewelry,card,0
23,28.0,57177.33,56.94,795,4,0,0.1549,20.99,0.9083,0,0,0,food,upi,0
3773,48.0,123432.92,11.01,3289,6,1,0.3339,4.02,0.9078,1,0,8,grocery,wallet,0
25,62.0,60821.54,164.24,941,4,0,0.1465,6.72,0.8756,0,0,15,fashion,net_banking,0
26,54.0,175171.47,71.0,1200,1,0,0.4213,3.77,,0,1,2,,upi,0
27,40.0,,112.76,1535,4,1,0.1838,7.47,0.8859,1,1,8,grocery,card,0
28,,84700.09,1034.33,3906,7,0,0.3285,14.95,0.9309,1,0,20,electronics,upi,0
29,49.0,32401.05,44.91,3854,1,0,0.0923,4.85,0.7766,0,0,0,food,upi,0
30,43.0,41478.95,86.58,2692,4,0,0.1772,21.29,0.8068,0,0,5,travel,card,0
31,43.0,52204.5,466.63,893,4,0,0.0466,8.05,0.8404,0,0,23,fashion,upi,0
32,30.0,35904.38,223.5,871,5,0,0.1351,4.09,0.5535,0,0,23,electronics,upi,0
33,23.0,72427.69,81.59,354,7,0,0.0869,9.52,0.868,0,1,12,travel,upi,0
34,49.0,66929.05,472.36,3171,2,0,0.4722,11.53,0.8031,0,0,21,,card,0
35,68.0,,495.34,906,3,0,0.3631,7.36,0.8032,0,0,3,electronics,card,0
