Employee_ID,Age,Monthly_Income,Years_at_Company,Job_Level,Overtime,Job_Satisfaction,Work_Life_Balance,Performance_Score,Distance_from_Home_km,Training_Hours_Last_Year,Promotions_Last_5_Years,Salary_Hike_Percent,Stock_Option,Business_Travel,Department,Education_Level,Job_Role,Marital_Status,Monthly_Working_Hours,Projects_Handled,Late_Days_Last_3_Months,Absence_Days_Last_Year,Commute_Time_Minutes,Employee_Engagement_Score,Manager_Rating,Internal_Transfers,Remote_Work_Days_Per_Week,Certifications,Team_Size,Attrition
EMP00001,55,85264.0,2.4,1,No,4,5,4.1,20,5,0,14,No,Rarely,Finance,Bachelor,Analyst,Married,128.0,7,1,0,43.0,2.4,5.0,0,5,0,10,1
EMP00002,28,72037.0,2.8,2,Yes,4,2,2.7,12,1,0,15,No,Never,IT,Master,Executive,Single,163.0,6,2,3,76.0,3.4,3.8,0,0,1,16,0
EMP00003,22,92504.0,3.7,4,No,1,3,3.4,23,18,0,10,No,Never,Operations,Bachelor,Executive,Single,197.0,8,3,2,64.0,2.9,1.8,0,5,1,16,1
EMP00004,46,42949.0,2.5,1,No,5,3,3.3,21,10,1,18,No,Rarely,Marketing,Bachelor,Associate,Single,139.0,7,4,4,58.0,2.6,3.6,0,5,2,11,1
EMP00005,35,25649.0,15.0,5,No,2,1,1.9,7,16,1,6,No,Rarely,HR,Master,Consultant,Single,137.0,5,2,3,44.0,3.7,3.6,0,1,0,9,0
EMP00006,39,31954.0,6.2,3,No,2,1,2.6,3,5,2,16,No,Rarely,Operations,Master,Executive,Single,175.0,3,2,3,72.0,3.5,4.2,1,2,0,13,0
EMP00007,24,66211.0,4.8,3,No,2,5,3.1,7,12,0,18,No,Never,Marketing,Bachelor,Specialist,Single,167.0,6,2,3,24.0,2.5,2.4,1,3,0,16,1
EMP00008,35,36841.0,4.3,3,No,2,2,2.9,4,11,1,8,No,Never,Sales,Bachelor,Executive,Married,187.0,6,1,4,52.0,4.0,4.0,1,3,0,9,0
EMP00009,46,99538.0,1.7,1,Yes,2,3,3.1,18,13,0,5,No,Rarely,Sales,Master,Specialist,Married,169.0,6,0,0,33.0,2.4,4.0,0,3,1,10,1
EMP00010,35,59135.0,12.1,4,No,5,2,3.0,21,15,1,18,No,Never,Sales,Bachelor,Consultant,Single,153.0,9,3,2,49.0,3.4,2.3,0,1,1,7,0
