Customer_ID,Age,Annual_Income,Purchase_Frequency,Average_Order_Value,Recency_Days,Website_Visits_Monthly,Discount_Usage_Pct,Annual_Spend,City,Preferred_Channel
102374,33,51400,3.9,500,168,6,80.9,1932.3,Bengaluru,Website
107803,47,169200,14.2,3640,22,17,24.9,51613.73,Chennai,Mobile App
105124,29,84100,7.3,1320,64,16,56.1,9675.98,Delhi,Marketplace
106109,28,87600,9.7,1930,42,13,28.3,18696.83,Bengaluru,Mobile App
106012,38,57800,9.1,1770,67,9,57.9,16079.51,Hyderabad,Website
103828,28,71000,9.6,1630,37,10,48,15630.74,Chennai,Website
102408,38,57000,3.9,730,154,6,77.1,2881.05,Pune,Marketplace
105833,28,106600,8.4,1850,51,12,45.8,15553.13,Chennai,Website
107435,37,158300,20.4,4470,25,33,31.5,91230.16,Mumbai,Mobile App
105652,38,85600,6.9,1830,54,12,48.8,12542.24,Mumbai,Website
101689,32,49000,3.8,920,129,5,68.9,3472.16,Bengaluru,Marketplace
101594,34,57300,3.4,980,135,5,61.9,3315.65,Pune,Mobile App
103881,27,75900,10.6,1570,44,12,53.1,16729.97,Delhi,Website
106172,37,82800,10.4,1720,34,13,35,17942.87,Hyderabad,Marketplace
108548,27,149800,20.2,5080,12,33,23.6,102861.84,Delhi,Mobile App
101264,51,41600,3.1,1170,82,5,71.9,3640.52,Hyderabad,Website
105318,41,86200,11.1,1900,50,11,34.6,21070.74,Delhi,Website
101671,57,57500,3.2,960,118,6,72.7,3107.95,Bengaluru,Marketplace
106474,38,100200,7,2130,55,16,24.2,14866.18,Mumbai,Website
101375,44,68500,3,450,44,5,55.9,1351.14,Chennai,Website
102226,36,53500,4.4,900,114,6,70.2,3904.55,Pune,Website
105545,36,79600,7.1,1210,62,17,54.2,8618.68,Bengaluru,Website
103886,,53900,7.2,1870,59,12,40,13451.19,Pune,Mobile App
106489,35,79000,10.5,1840,52,11,43.1,19344.95,Hyderabad,Marketplace
101609,34,60200,4.2,930,155,4,57.5,3879.45,Delhi,Mobile App
108517,49,129300,18.2,3700,21,25,21.4,67353.66,Delhi,Website
102756,35,45800,4.2,830,131,3,76.1,3494.89,Mumbai,Website
100094,30,54200,3.7,930,170,7,55.3,3389.57,Mumbai,Website
106512,36,113400,17.1,4330,20,17,17.1,74046.14,Mumbai,Marketplace
105247,34,75900,9.4,1910,37,17,30,17891.61,Hyderabad,Marketplace
103947,24,86300,8.8,1830,58,16,49.4,16179.43,Mumbai,Marketplace
102267,37,58300,3.1,620,87,6,82.6,1921.25,Chennai,Mobile App
108029,38,162200,19.6,4830,24,22,12.3,94516.08,Pune,Marketplace
102447,35,39600,2.9,870,178,5,88.3,2498.63,Bengaluru,Mobile App
106022,31,85300,9.1,1990,58,10,49.9,18189.57,Delhi,Marketplace
104857,25,98200,8.6,2060,44,12,44.6,17677.66,Bengaluru,Website
100790,34,40400,4.5,760,138,7,71.2,3449.69,Bengaluru,Website
100081,43,70300,3.8,720,116,7,65.3,2775.76,Bengaluru,Website
102544,42,48800,4.2,760,125,5,61.2,3208.73,Chennai,Website
103419,43,68300,9.6,1800,43,18,48.5,17204.49,Mumbai,Marketplace
103435,37,67700,7.5,2010,56,15,55.9,15027.02,Delhi,Mobile App
100654,33,47200,4.2,880,109,6,80,3744.57,Bengaluru,Marketplace
106452,38,102900,8.8,1500,50,16,49.6,13271.79,Delhi,Website
104562,30,93000,9.9,2320,57,16,40,22924.68,Hyderabad,Mobile App
104774,31,74600,11,2270,52,12,40.2,24974.54,Pune,Mobile App
107189,43,141400,15.5,5180,20,25,35.7,80447.99,Hyderabad,Mobile App
101039,39,66200,4.4,790,188,7,62.2,3446.67,Mumbai,Website
101865,35,66600,3.5,820,66,5,61,2884.42,Pune,Mobile App
102707,38,55300,3.6,570,84,5,67,2075.49,Mumbai,Mobile App
105024,37,95500,7.3,2150,41,14,26.6,15731.24,Pune,Website
103297,37,89900,9.2,2190,40,10,36.8,20184.67,Pune,Mobile App
102084,37,62100,4.2,930,94,6,66.4,3900.29,Pune,Mobile App
102664,48,44600,3.2,900,155,6,77.9,2902.53,Bengaluru,Website
107677,45,129500,22.2,3070,21,27,14.1,67913.56,Chennai,Marketplace
107190,32,135200,14.5,3730,16,22,29.1,54017.59,Pune,Mobile App
105689,35,102800,8.8,1390,51,16,40.9,12272.15,Hyderabad,Website
104396,26,68300,7.3,1710,50,14,46.6,12408.66,Pune,Website
106135,25,86500,10.2,2020,55,15,43.6,20679.75,Bengaluru,Mobile App
104620,21,85600,7.5,1820,27,12,55.2,13645.07,Hyderabad,Website
104454,40,57500,7.6,1820,55,15,51.9,13775.85,Bengaluru,Mobile App
105310,30,74600,7.9,1940,39,15,43.9,15396.28,Mumbai,Marketplace
103020,37,94400,8.2,1880,44,14,43.1,15404.43,Bengaluru,Marketplace
105968,27,66900,8.5,1490,40,9,48.1,12657.58,Chennai,Mobile App
100319,32,55000,3.8,990,125,6,55.3,3710.28,Mumbai,Marketplace
100510,42,50300,4.4,590,127,5,71,2578.57,Chennai,Mobile App
101403,36,43700,2.8,810,135,4,66.2,2297.96,Bengaluru,Mobile App
102621,30,49900,3.5,790,81,6,65.3,2791.85,Chennai,Mobile App
106837,36,175900,15.8,3730,22,25,19.9,58880.75,Bengaluru,Website
105295,27,84500,7.8,1520,56,14,48,11825.7,Mumbai,Mobile App
104195,39,93900,7.8,2140,38,10,38.1,16562.1,Hyderabad,Marketplace
101627,45,58500,4.3,900,98,5,66.3,3852.59,Delhi,Mobile App
100737,33,50300,4.2,790,44,6,78.5,3312.63,Hyderabad,Marketplace
107538,51,150100,19,3130,15,22,14.2,59526.27,Hyderabad,Website
103784,31,67600,9.1,1920,77,10,48.5,17416.81,Mumbai,Marketplace
104984,33,76300,9,2360,40,10,37.6,21319.47,Hyderabad,Mobile App
104076,38,87200,7,1820,33,12,41,12729.71,Pune,Mobile App
104996,37,91900,9.5,1540,54,14,35.1,14676.78,Hyderabad,Marketplace
103839,44,67100,10.5,1490,63,13,40.5,15662.25,Delhi,Mobile App
104375,30,81300,8.4,2160,60,12,59.4,18146.83,Bengaluru,Website
105207,38,81900,8,940,48,15,44.1,7512.26,Chennai,Mobile App
102190,34,38300,3.1,710,109,6,76.9,2207.41,Bengaluru,Marketplace
102523,33,39200,3.9,670,156,7,58.7,2610.68,Delhi,Website
100625,40,49500,3.7,730,72,8,66.2,2670.87,Bengaluru,Mobile App
100249,50,59300,3.4,780,150,9,71.5,2638.59,Bengaluru,Marketplace
108081,42,133200,15.7,2890,16,31,23.8,45475.66,Delhi,Marketplace
100880,37,60700,4,960,144,8,74.5,3804.94,Mumbai,Mobile App
106856,48,116400,18.7,3440,15,26,3.7,64447.63,Delhi,Mobile App
100621,47,44800,3.4,680,154,6,81.6,2278.18,Chennai,Website
103525,34,71100,10.5,1420,56,13,45.5,14856.8,Chennai,Marketplace
108296,38,137800,15.3,3890,14,28,7.5,59434.78,Chennai,Mobile App
