Application id,income,age,employment,loan amount,previous default,debt,credit history,creditworthiness
APP00001,51944,59,Employed,35714,No,11202,Good,Yes
APP00002,26940,49,Self-Employed,85943,Yes,39104,Good,No
APP00003,39305,35,Employed,84884,No,41397,Good,Yes
APP00004,74354,63,Employed,14945,Yes,13538,Good,Yes
APP00005,129866,28,Employed,95234,No,14771,Good,Yes
APP00006,57424,41,Employed,22333,Yes,3318,Good,Yes
APP00007,69537,59,Employed,44364,Yes,3398,Poor,No
APP00008,92108,39,Unemployed,25440,No,29332,Poor,No
APP00009,41656,43,Self-Employed,86732,No,12586,Average,Yes
APP00010,70768,31,Employed,76193,No,73608,Good,Yes
APP00011,42997,31,Employed,38585,No,16754,Poor,No
APP00012,88545,44,Employed,69778,No,6211,Poor,Yes
APP00013,64230,56,,22515,No,32929,Poor,Yes
APP00014,68624,60,Unemployed,41318,No,16205,Average,Yes
APP00015,42190,44,,40825,No,5880,Good,Yes
APP00016,82476,23,Self-Employed,27604,No,60465,Good,Yes
APP00017,153311,42,,88250,No,45011,Poor,Yes
APP00018,38122,22,Employed,69490,No,5504,Good,Yes
APP00019,51493,44,Unemployed,31594,No,37973,Good,Yes
APP00020,66591,64,Employed,28001,No,4068,Good,Yes
APP00021,85475,50,Employed,6706,No,28991,Good,Yes
APP00022,46644,58,Employed,37925,No,29700,Poor,Yes
APP00023,18000,22,Employed,55043,No,66016,Good,Yes
APP00024,110607,41,Employed,31383,No,59088,Good,Yes
APP00025,84485,53,Unemployed,71544,No,71859,Poor,No
APP00026,27386,32,Employed,44116,Yes,12101,Good,Yes
APP00027,45647,42,Self-Employed,35050,No,43167,Poor,No
APP00028,121514,64,Employed,94210,No,2595,Good,Yes
APP00029,115106,45,Employed,29966,No,66216,Average,Yes
APP00030,91536,47,Unemployed,42834,No,29960,Good,Yes
APP00031,55429,62,Employed,41318,Yes,6475,Good,Yes
APP00032,62283,48,Employed,27914,No,26648,Good,Yes
APP00033,56567,36,,25660,No,23666,Poor,Yes
APP00034,99689,35,Employed,33726,No,61514,Good,Yes
APP00035,40456,64,Employed,87102,No,11002,Good,Yes
APP00036,41751,23,Self-Employed,77873,No,44906,Poor,No
APP00037,94535,57,Unemployed,69695,No,63720,Good,Yes
APP00038,58814,27,Employed,48425,No,59424,Average,No
APP00039,111570,41,Self-Employed,53237,No,74937,Average,No
APP00040,44352,29,,30378,No,1050,Good,Yes
APP00041,58539,59,Self-Employed,12060,Yes,28950,Good,Yes
APP00042,39617,38,Employed,36449,No,30197,Poor,No
APP00043,60199,24,Employed,52080,No,3631,Good,Yes
APP00044,,45,Employed,10445,No,65564,Good,Yes
APP00045,48178,34,Employed,13382,Yes,55422,Average,No
APP00046,31438,29,Employed,29987,No,42719,Good,Yes
APP00047,81991,46,,39873,No,32996,Average,Yes
APP00048,,22,Employed,42365,No,71738,Good,Yes
APP00049,27542,40,Employed,16199,No,21893,Poor,Yes
APP00050,109354,48,Employed,26453,No,27429,Good,Yes
APP00051,184598,27,Employed,29856,No,76258,Good,Yes
APP00052,61255,64,Self-Employed,11425,Yes,6105,Average,No
APP00053,44963,28,Employed,35979,No,62668,Good,Yes
APP00054,,55,Self-Employed,11861,No,57727,Good,Yes
APP00055,33142,34,Unemployed,71828,No,72249,Average,No
APP00056,60545,37,Self-Employed,41675,No,8155,Average,Yes
APP00057,65051,56,Self-Employed,36041,No,77665,Good,Yes
APP00058,109910,60,Unemployed,17020,No,3278,Good,Yes
APP00059,70543,24,Employed,26518,No,27679,Average,Yes
APP00060,47940,22,Unemployed,27107,Yes,7701,Good,No
APP00061,39107,26,Self-Employed,98594,No,5043,Poor,No
APP00062,51446,62,Self-Employed,84358,No,77213,Good,No
APP00063,38139,24,Employed,6450,No,57854,Average,Yes
APP00064,61305,49,Employed,63599,No,40949,Good,Yes
APP00065,46547,38,Employed,29311,No,9547,Good,Yes
APP00066,30631,46,Employed,14916,No,42556,Good,Yes
APP00067,105547,64,Self-Employed,72032,No,26284,Good,Yes
APP00068,47961,54,Employed,17503,No,22455,Good,Yes
APP00069,33909,30,Employed,47155,No,49830,Good,Yes
APP00070,55625,56,Employed,65056,No,63483,Poor,Yes
APP00071,61875,34,Employed,57677,No,36017,Good,Yes
APP00072,27342,,Employed,97875,No,39971,Poor,No
APP00073,69657,35,Employed,79646,No,52463,Good,Yes
APP00074,37454,28,Employed,78548,No,10846,Average,Yes
APP00075,129581,34,Employed,38782,Yes,66460,Poor,No
APP00076,,43,Employed,5798,No,67118,Poor,No
APP00077,50118,60,Unemployed,74769,Yes,43743,Good,No
APP00078,42906,41,Self-Employed,99975,No,15817,Average,No
APP00079,57232,36,Self-Employed,43559,No,40560,Good,Yes
APP00080,79052,65,Employed,98624,No,9369,Good,Yes
APP00081,59316,38,Employed,18462,No,61300,Average,Yes
APP00082,54414,44,Employed,33169,No,25581,Good,Yes
APP00083,61597,46,Unemployed,21219,No,25576,Good,Yes
APP00084,45723,45,Self-Employed,50142,No,75659,Good,Yes
APP00085,51414,65,Employed,80713,No,34327,Good,Yes
APP00086,23470,61,Self-Employed,37363,No,63376,Good,Yes
APP00087,92993,49,Employed,91092,No,51336,Poor,No
APP00088,68635,35,Employed,56759,No,25978,Good,Yes
APP00089,42364,65,Self-Employed,49215,No,10779,Average,Yes
APP00090,141002,21,Employed,79768,Yes,64022,Average,No
APP00091,62396,45,,14637,No,61238,Good,Yes
APP00092,37640,27,Self-Employed,78506,No,14364,Average,Yes
APP00093,88224,29,Employed,28080,No,20680,Average,Yes
APP00094,71770,44,Employed,31677,No,61533,Good,Yes
APP00095,71658,21,Unemployed,61948,No,78707,Good,No
